Time (sec),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Forktip Pose X (m),Forktip Pose Y (m),Forktip Pose Z (m),Forktip Pose Roll (rad),Forktip Pose Pitch (rad),Forktip Pose Yaw (rad)
1637705108.6612244,0.077968862449787554,-0.13301198586016866,-0.3170946514874533,-4.9735870854011832e-05,-0.00012508520775823234,-1.603438490794043e-05,,,,,,
1637705108.6639223,,,,,,,-0.24523113089686693,-0.017450004434240274,-0.19432395673168323,2.912000020059958,0.28460207706557017,-0.46465136370530313
1637705108.6712463,0.045190257422277856,-0.089324444869356243,-0.14274660093452596,1.1647394764482156e-05,-0.00010960649972379473,-3.490285091069245e-05,,,,,,
1637705108.6739314,,,,,,,-0.24523710846755975,-0.01744795830967502,-0.19432626154842736,2.911966466198308,0.2846153514483608,-0.46463309982784656
1637705108.6739552,,,,,,,-0.24523722434765982,-0.017447861380244345,-0.19431542714688033,2.9120846457659555,0.2847144089063037,-0.46435979106950986
1637705108.6812913,-0.081624601685866785,-0.12382826227953866,-0.10545715820496326,-2.7663134836213127e-05,-9.0554079824836371e-05,-3.3998972299782715e-05,,,,,,
1637705108.6840131,,,,,,,-0.2452472586550657,-0.01746391320514115,-0.1943203506370068,2.911957699393609,0.2846815002803849,-0.46452668285011056
1637705108.6912808,-0.010429861280042627,-0.12108746262100893,-0.11476283805588139,-8.1373504619390214e-05,-7.6162429616257073e-05,-3.309509368887298e-05,,,,,,
1637705108.6939318,,,,,,,-0.24523880831718248,-0.017444902496291076,-0.1943114106469872,2.9119973951890805,0.2846711270047334,-0.46456478508126636
1637705108.7012947,-0.081686265319951282,-0.062273722808529108,-0.047212142923932277,-6.7726967671799673e-05,-8.1721352738648145e-05,-5.7951755488904605e-05,,,,,,
1637705108.7039185,,,,,,,-0.2452483801105892,-0.0174554698743547,-0.19433985117648656,2.9119565367588667,0.2846801694558039,-0.464505088011803
1637705108.7111661,-0.012032823923682767,-0.043483064003803834,-0.27643790491126374,-3.7007262819189046e-05,-0.00013221780650415381,-1.5469460776122712e-05,,,,,,
1637705108.714055,,,,,,,-0.24524917227785548,-0.017454174529792144,-0.1942966406935963,2.9119883689047006,0.2847478491180231,-0.4644339055693374
1637705108.721329,-0.025520111188160811,-0.096017956295486873,0.09401000043502705,-7.550394079902908e-05,-0.0001039544452841409,-4.6088348720708244e-05,,,,,,
1637705108.7239668,,,,,,,-0.24523753877601975,-0.017446439354210697,-0.19432296883196143,2.912005429374085,0.2846554843522343,-0.46459074097281366
1637705108.7240396,,,,,,,-0.2452430990281057,-0.01745431462945507,-0.19431899054089397,2.9119580502681233,0.2846244876846015,-0.46465115059624607
1637705108.7311985,-0.084525401395278407,-0.044456351870883502,-0.2090517939831784,-8.8191989106048283e-05,-0.00010593088415662073,-1.4565582165209506e-05,,,,,,
1637705108.7339568,,,,,,,-0.24523657198068713,-0.017453614026578607,-0.19430701158383978,2.911971618136954,0.28465916681618275,-0.46460171227194313
1637705108.741221,-0.012831192282298079,-0.082143141421523694,-0.28809224583354087,-8.1207500941140535e-05,-0.00010085467891581253,-3.580672952160219e-05,,,,,,
1637705108.7439318,,,,,,,-0.24523723013786994,-0.017454940226646426,-0.19429754222376927,2.911944132200121,0.28465266649114135,-0.46464662573533894
1637705108.7513041,0.007998405957028271,-0.035626482863796244,-0.13814713966977976,-3.5651153697081973e-05,-0.0001472209569570011,-2.0101838657037713e-05,,,,,,
1637705108.7539783,,,,,,,-0.24524233893585676,-0.017455857379009926,-0.19431758746827443,2.9118472617421225,0.2846069201964804,-0.4648170360200546
1637705108.7612538,0.024888098748847686,-0.1146469935746143,-0.19896767533020032,-6.8565794661534362e-05,-0.00018918583438835675,1.017809480845927e-05,,,,,,
1637705108.7639492,,,,,,,-0.2452402112874532,-0.017462571620458806,-0.19431316805039411,2.91183321642701,0.28459964152398576,-0.4648409291996411
1637705108.7712674,0.04243995418645051,-0.14015465506098485,-0.2559938778582911,-7.681723857572899e-05,-0.00015207097936768371,-5.252848382344272e-05,,,,,,
1637705108.7739325,,,,,,,-0.24523451552486228,-0.01744812899606618,-0.194287330070389,2.9117648979139625,0.28454369672913593,-0.46511369877817793
1637705108.773979,,,,,,,-0.245240439182294,-0.017463113733525465,-0.19431030431815566,2.911784145252363,0.2846124250604813,-0.4649440320995394
1637705108.7811635,-0.030588281725615778,-0.057134062781219963,-0.27549043368361303,-6.5185526639156539e-05,-0.00014261567091351614,-1.0385143589749374e-05,,,,,,
1637705108.7839792,,,,,,,-0.2452473954268767,-0.01745524486307068,-0.19431037817966657,2.9117938465588917,0.284644603526207,-0.464967898628361
1637705108.7911801,-0.063317015598487791,-0.035427048499744325,0.031717103383279266,-9.5742488197407907e-05,-0.00010663718492426885,-1.9649899351582845e-05,,,,,,
1637705108.7939494,,,,,,,-0.24524476928194225,-0.017454339866178836,-0.19429747106142503,2.911707840820876,0.28456641328410737,-0.46516950137444835
1637705108.8013282,-0.065028985396328759,-0.077326594157901773,-0.08406121170261294,-0.00012278416980855016,-0.00010476757934445134,-5.1963559691625e-05,,,,,,
1637705108.8039289,,,,,,,-0.2452221056926304,-0.01743956122772744,-0.1943050373308285,2.911742446920053,0.2844796477606283,-0.4651458869804861
1637705108.8111997,-0.010554046540901611,-0.00038783376758048591,-0.1409717604658276,-4.5862521386889299e-05,-0.00011371647361255673,-2.0101838657037713e-05,,,,,,
1637705108.8139937,,,,,,,-0.24524190300536292,-0.017456384410286158,-0.19430258391384436,2.911707308006794,0.28454488486701673,-0.4651504130232711
1637705108.8212123,-0.080567297236296492,-0.022878956102914648,-0.030615827664000506,-5.6435528193598151e-06,-0.00011332717825398382,-2.55251103224996e-05,,,,,,
1637705108.8239617,,,,,,,-0.2452433404813476,-0.017463116153797337,-0.19430577662246984,2.911682533683082,0.2845405993276759,-0.4651300342097616
1637705108.8240213,,,,,,,-0.24523098047506287,-0.017458238994838393,-0.1942960313628781,2.9118020110461487,0.28456195145468205,-0.4649436306431101
1637705108.831278,-0.081204809418163201,-0.027530751526998836,-0.1615714752792119,4.6794583298067141e-05,-0.00016302621746715573,-2.541212549613328e-05,,,,,,
1637705108.8339214,,,,,,,-0.24523978269966856,-0.01745404602459219,-0.19431798791727817,2.911804432072869,0.2845888053023112,-0.46491408733539286
